method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.000010,1e-05,0.241,8,2.220446e-16,1.221073e-15,1.491019e-30
taylor,15001,0.150010,1e-05,0.160,8,3.008704e-14,5.808096e-13,3.373398e-25
taylor,30001,0.300010,1e-05,0.160,8,3.907985e-14,8.312699e-12,6.910096e-23
taylor,45001,0.450010,1e-05,0.162,8,2.631229e-14,1.600975e-11,2.563122e-22
taylor,60001,0.600010,1e-05,0.165,8,3.730349e-14,4.490087e-12,2.016088e-23
taylor,75001,0.750010,1e-05,0.085,8,3.186340e-14,3.894845e-11,1.516982e-21
taylor,90001,0.900010,1e-05,0.085,8,3.064216e-14,7.332230e-11,5.376159e-21
taylor,105001,1.050010,1e-05,0.162,8,4.030110e-14,7.950917e-11,6.321708e-21
taylor,120001,1.200010,1e-05,0.163,8,3.008704e-14,2.962861e-11,8.778542e-22
taylor,135001,1.350010,1e-05,0.161,8,3.241851e-14,2.019403e-11,4.077989e-22
taylor,150001,1.500010,1e-05,0.085,8,3.375078e-14,7.001039e-11,4.901454e-21
taylor,165001,1.650010,1e-05,0.161,8,3.119727e-14,1.198830e-10,1.437193e-20
taylor,180001,1.800010,1e-05,0.160,8,3.441691e-14,1.696614e-10,2.878500e-20
taylor,195001,1.950010,1e-05,0.160,8,3.053113e-14,2.192928e-10,4.808932e-20
taylor,210001,2.100010,1e-05,0.162,8,2.731149e-14,2.688071e-10,7.225724e-20
taylor,225001,2.250010,1e-05,0.160,8,1.831868e-14,3.184334e-10,1.013998e-19
taylor,240001,2.400010,1e-05,0.160,8,1.432188e-14,3.682191e-10,1.355853e-19
taylor,255001,2.550010,1e-05,0.085,8,1.643130e-14,4.180463e-10,1.747627e-19
taylor,270001,2.700010,1e-05,0.089,8,1.176836e-14,4.678795e-10,2.189113e-19
taylor,285001,2.850010,1e-05,0.161,8,1.032507e-14,5.177276e-10,2.680418e-19
taylor,300001,3.000010,1e-05,0.125,8,1.232348e-14,5.676056e-10,3.221762e-19
taylor,315001,3.150010,1e-05,0.158,8,9.214851e-15,6.174759e-10,3.812765e-19
taylor,330001,3.300010,1e-05,0.161,8,1.776357e-14,6.673016e-10,4.452914e-19
taylor,345001,3.450010,1e-05,0.160,8,7.327472e-15,7.170898e-10,5.142178e-19
taylor,360001,3.600010,1e-05,0.159,8,2.087219e-14,7.668711e-10,5.880913e-19
taylor,375001,3.750010,1e-05,0.159,8,9.880985e-15,8.166505e-10,6.669180e-19
taylor,390001,3.900010,1e-05,0.157,8,1.820766e-14,8.664201e-10,7.506838e-19
taylor,405001,4.050010,1e-05,0.162,8,1.221245e-14,8.038119e-10,6.461135e-19
taylor,420001,4.200010,1e-05,0.085,8,4.440892e-16,5.166134e-10,2.668894e-19
taylor,435001,4.350010,1e-05,0.163,8,1.720846e-14,2.293673e-10,5.260936e-20
taylor,450001,4.500010,1e-05,0.085,8,1.187939e-14,5.790290e-11,3.352746e-21
taylor,465001,4.650010,1e-05,0.167,8,5.662137e-15,3.451204e-10,1.191081e-19
taylor,480001,4.800010,1e-05,0.161,8,2.098322e-14,6.323246e-10,3.998344e-19
