method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.000001,1e-06,0.317,7,5.551115e-16,6.170295e-16,3.807255e-31
taylor,100001,0.100001,1e-06,0.162,7,2.061018e-12,1.471064e-12,2.164030e-24
taylor,200001,0.200001,1e-06,0.133,7,5.583756e-12,3.257184e-12,1.060925e-23
taylor,300001,0.300001,1e-06,0.161,7,7.501000e-12,6.470806e-12,4.187133e-23
taylor,400001,0.400001,1e-06,1.528,7,9.468426e-12,1.536700e-11,2.361448e-22
taylor,500001,0.500001,1e-06,0.178,7,1.074674e-11,2.458657e-11,6.044994e-22
taylor,600001,0.600001,1e-06,0.140,7,1.165035e-11,1.525331e-11,2.326634e-22
taylor,700001,0.700001,1e-06,0.160,7,1.254796e-11,8.392147e-12,7.042814e-23
taylor,800001,0.800001,1e-06,0.157,7,1.341238e-11,1.041331e-11,1.084370e-22
taylor,900001,0.900001,1e-06,0.107,7,1.423328e-11,1.847047e-11,3.411584e-22
taylor,1000001,1.000001,1e-06,0.186,7,1.499345e-11,2.769230e-11,7.668637e-22
taylor,1100001,1.100001,1e-06,0.126,7,1.566702e-11,1.043227e-11,1.088322e-22
taylor,1200001,1.200001,1e-06,0.199,7,1.628753e-11,3.410245e-11,1.162977e-21
taylor,1300001,1.300001,1e-06,0.378,7,1.676859e-11,6.262054e-11,3.921332e-21
taylor,1400001,1.400001,1e-06,0.138,7,1.721201e-11,9.158373e-11,8.387579e-21
taylor,1500001,1.500001,1e-06,0.163,7,1.758460e-11,1.206334e-10,1.455243e-20
taylor,1600001,1.600001,1e-06,0.166,7,1.796407e-11,1.497570e-10,2.242716e-20
taylor,1700001,1.700001,1e-06,0.141,7,1.830769e-11,1.789118e-10,3.200941e-20
taylor,1800001,1.800001,1e-06,0.144,7,1.864209e-11,2.081107e-10,4.331006e-20
taylor,1900001,1.900001,1e-06,0.110,7,1.896994e-11,2.373212e-10,5.632135e-20
taylor,2000001,2.000001,1e-06,0.161,7,1.925970e-11,2.665742e-10,7.106180e-20
taylor,2100001,2.100001,1e-06,0.156,7,1.953637e-11,2.175786e-10,4.734044e-20
taylor,2200001,2.200001,1e-06,0.137,7,1.981348e-11,1.686415e-10,2.843995e-20
taylor,2300001,2.300001,1e-06,0.139,7,2.010780e-11,1.198582e-10,1.436600e-20
taylor,2400001,2.400001,1e-06,0.134,7,2.037237e-11,7.142642e-11,5.101734e-21
taylor,2500001,2.500001,1e-06,0.131,7,2.064005e-11,2.537352e-11,6.438153e-22
taylor,2600001,2.600001,1e-06,0.170,7,2.086642e-11,3.135151e-11,9.829175e-22
taylor,2700001,2.700001,1e-06,0.151,7,2.113532e-11,7.819327e-11,6.114188e-21
taylor,2800001,2.800001,1e-06,0.136,7,2.136480e-11,1.266159e-10,1.603158e-20
taylor,2900001,2.900001,1e-06,0.160,7,2.161493e-11,1.753172e-10,3.073610e-20
taylor,3000001,3.000001,1e-06,0.134,7,2.184997e-11,2.241035e-10,5.022237e-20
taylor,3100001,3.100001,1e-06,0.158,7,2.207423e-11,2.729494e-10,7.450136e-20
taylor,3200001,3.200001,1e-06,0.191,7,2.230471e-11,3.218229e-10,1.035700e-19
taylor,3300001,3.300001,1e-06,0.145,7,2.252742e-11,3.707313e-10,1.374417e-19
taylor,3400001,3.400001,1e-06,0.154,7,2.274614e-11,4.196636e-10,1.761176e-19
taylor,3500001,3.500001,1e-06,0.131,7,2.295164e-11,4.686125e-10,2.195977e-19
taylor,3600001,3.600001,1e-06,0.151,7,2.315759e-11,5.175825e-10,2.678916e-19
taylor,3700001,3.700001,1e-06,0.884,7,2.333811e-11,5.665808e-10,3.210138e-19
taylor,3800001,3.800001,1e-06,0.144,7,2.352440e-11,6.155918e-10,3.789532e-19
taylor,3900001,3.900001,1e-06,0.134,7,2.369771e-11,6.646290e-10,4.417317e-19
taylor,4000001,4.000001,1e-06,0.154,7,2.386757e-11,7.137116e-10,5.093842e-19
taylor,4100001,4.100001,1e-06,0.154,7,2.401357e-11,7.628446e-10,5.819319e-19
taylor,4200001,4.200001,1e-06,0.175,7,2.412059e-11,8.120263e-10,6.593867e-19
taylor,4300001,4.300001,1e-06,0.239,7,2.422396e-11,8.612837e-10,7.418095e-19
taylor,4400001,4.400001,1e-06,0.231,7,2.432032e-11,9.105813e-10,8.291582e-19
taylor,4500001,4.500001,1e-06,0.135,7,2.437428e-11,9.599063e-10,9.214202e-19
taylor,4600001,4.600001,1e-06,0.115,7,2.440859e-11,1.009229e-09,1.018544e-18
taylor,4700001,4.700001,1e-06,0.160,7,2.445699e-11,1.058550e-09,1.120529e-18
taylor,4800001,4.800001,1e-06,0.220,7,2.449174e-11,1.107866e-09,1.227368e-18
taylor,4900001,4.900001,1e-06,0.206,7,2.454015e-11,1.157168e-09,1.339039e-18
taylor,5000001,5.000001,1e-06,0.241,7,2.455103e-11,1.206456e-09,1.455535e-18
taylor,5100001,5.100001,1e-06,0.229,7,2.456568e-11,1.255737e-09,1.576875e-18
taylor,5200001,5.200001,1e-06,0.156,7,2.459832e-11,1.305026e-09,1.703093e-18
taylor,5300001,5.300001,1e-06,0.156,7,2.457101e-11,1.354308e-09,1.834149e-18
taylor,5400001,5.400001,1e-06,0.153,7,2.449829e-11,1.403609e-09,1.970119e-18
taylor,5500001,5.500001,1e-06,0.165,7,2.447575e-11,1.452934e-09,2.111016e-18
taylor,5600001,5.600001,1e-06,0.182,7,2.445211e-11,1.502235e-09,2.256711e-18
taylor,5700001,5.700001,1e-06,0.233,7,2.442013e-11,1.551572e-09,2.407377e-18
taylor,5800001,5.800001,1e-06,0.255,7,2.441436e-11,1.600897e-09,2.562873e-18
taylor,5900001,5.900001,1e-06,0.178,7,2.424572e-11,1.650188e-09,2.723119e-18
taylor,6000001,6.000001,1e-06,0.148,7,2.421352e-11,1.699482e-09,2.888238e-18
taylor,6100001,6.100001,1e-06,0.132,7,2.421696e-11,1.748786e-09,3.058252e-18
taylor,6200001,6.200001,1e-06,0.129,7,2.416778e-11,1.798026e-09,3.232896e-18
taylor,6300001,6.300001,1e-06,0.178,7,2.413703e-11,1.847321e-09,3.412597e-18
taylor,6400001,6.400001,1e-06,0.146,7,2.409040e-11,1.896562e-09,3.596946e-18
taylor,6500001,6.500001,1e-06,0.153,7,2.409717e-11,1.945823e-09,3.786226e-18
taylor,6600001,6.600001,1e-06,0.132,7,2.408740e-11,1.995121e-09,3.980509e-18
taylor,6700001,6.700001,1e-06,0.136,7,2.410949e-11,2.044434e-09,4.179711e-18
taylor,6800001,6.800001,1e-06,0.157,7,2.409550e-11,2.093805e-09,4.384018e-18
taylor,6900001,6.900001,1e-06,0.234,7,2.412770e-11,2.143206e-09,4.593330e-18
taylor,7000001,7.000001,1e-06,0.144,7,2.419676e-11,2.192623e-09,4.807597e-18
taylor,7100001,7.100001,1e-06,0.154,7,2.416500e-11,2.242038e-09,5.026733e-18
taylor,7200001,7.200001,1e-06,0.166,7,2.418798e-11,2.291507e-09,5.251005e-18
taylor,7300001,7.300001,1e-06,0.194,7,2.422551e-11,2.340958e-09,5.480084e-18
taylor,7400001,7.400001,1e-06,0.181,7,2.417710e-11,2.390393e-09,5.713981e-18
taylor,7500001,7.500001,1e-06,0.181,7,2.420264e-11,2.439734e-09,5.952304e-18
taylor,7600001,7.600001,1e-06,0.166,7,2.418543e-11,2.489089e-09,6.195565e-18
taylor,7700001,7.700001,1e-06,0.246,7,2.431222e-11,2.538338e-09,6.443158e-18
taylor,7800001,7.800001,1e-06,0.125,7,2.411893e-11,2.587551e-09,6.695421e-18
taylor,7900001,7.900001,1e-06,0.145,7,2.418454e-11,2.636676e-09,6.952062e-18
taylor,8000001,8.000001,1e-06,0.180,7,2.421185e-11,2.685743e-09,7.213213e-18
taylor,8100001,8.100001,1e-06,0.149,7,2.418410e-11,2.421366e-09,5.863012e-18
taylor,8200001,8.200001,1e-06,0.134,7,2.414347e-11,2.156973e-09,4.652533e-18
taylor,8300001,8.300001,1e-06,0.143,7,2.405687e-11,1.892622e-09,3.582017e-18
taylor,8400001,8.400001,1e-06,0.202,7,2.413236e-11,1.628320e-09,2.651426e-18
taylor,8500001,8.500001,1e-06,0.152,7,2.413814e-11,1.364112e-09,1.860800e-18
taylor,8600001,8.600001,1e-06,0.148,7,2.419165e-11,1.099986e-09,1.209970e-18
taylor,8700001,8.700001,1e-06,0.168,7,2.419753e-11,8.359713e-10,6.988480e-19
taylor,8800001,8.800001,1e-06,0.154,7,2.415490e-11,5.721010e-10,3.272995e-19
taylor,8900001,8.900001,1e-06,0.175,7,2.414857e-11,3.086140e-10,9.524257e-20
taylor,9000001,9.000001,1e-06,0.165,7,2.415579e-11,5.206800e-11,2.711077e-21
taylor,9100001,9.100001,1e-06,0.182,7,2.418032e-11,2.227265e-10,4.960707e-20
taylor,9200001,9.200001,1e-06,0.139,7,2.416478e-11,4.857529e-10,2.359559e-19
taylor,9300001,9.300001,1e-06,0.175,7,2.416833e-11,7.494657e-10,5.616988e-19
taylor,9400001,9.400001,1e-06,0.190,7,2.402922e-11,1.013345e-09,1.026867e-18
taylor,9500001,9.500001,1e-06,0.157,7,2.411171e-11,1.277278e-09,1.631440e-18
taylor,9600001,9.600001,1e-06,0.159,7,2.418410e-11,1.541154e-09,2.375156e-18
taylor,9700001,9.700001,1e-06,0.181,7,2.414979e-11,1.805101e-09,3.258391e-18
taylor,9800001,9.800001,1e-06,0.159,7,2.396228e-11,2.069033e-09,4.280896e-18
taylor,9900001,9.900001,1e-06,0.167,7,2.405731e-11,2.332976e-09,5.442777e-18
taylor,10000000,10.000000,1e-06,0.154,7,2.420142e-11,2.596844e-09,6.743599e-18
