method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.100000,0.1,0.248,7,4.751092e+02,2.199300e+01,4.836921e+02
taylor,2,0.200000,0.1,0.151,7,2.389307e+21,4.888054e+10,2.389307e+21
taylor,3,0.300000,0.1,0.175,7,4.240825e+46,2.059326e+23,4.240825e+46
taylor,4,0.400000,0.1,0.234,7,9.283578e+71,9.635133e+35,9.283578e+71
taylor,5,0.500000,0.1,0.166,7,2.222013e+97,4.713823e+48,2.222013e+97
taylor,6,0.600000,0.1,0.169,7,5.558866e+122,2.357725e+61,5.558866e+122
taylor,7,0.700000,0.1,0.171,7,1.426184e+148,1.194229e+74,1.426184e+148
taylor,8,0.800000,0.1,0.160,7,3.718702e+173,6.098116e+86,3.718702e+173
taylor,9,0.900000,0.1,0.157,7,9.806572e+198,3.131545e+99,9.806572e+198
taylor,10,1.000000,0.1,0.163,7,2.607716e+224,1.614842e+112,2.607716e+224
