method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.100000,0.1,0.181,4,8.260678e+02,2.806400e+01,7.875882e+02
taylor,2,0.200000,0.1,0.061,4,2.223192e+06,1.490796e+03,2.222472e+06
taylor,3,0.300000,0.1,0.059,4,4.075164e+18,2.018704e+09,4.075164e+18
taylor,4,0.400000,0.1,0.101,4,2.893703e+34,1.701089e+17,2.893703e+34
taylor,5,0.500000,0.1,0.103,4,2.333849e+50,1.527694e+25,2.333849e+50
taylor,6,0.600000,0.1,0.062,4,2.027120e+66,1.423770e+33,2.027120e+66
taylor,7,0.700000,0.1,0.084,4,1.840614e+82,1.356692e+41,1.840614e+82
taylor,8,0.800000,0.1,0.099,4,1.718667e+98,1.310979e+49,1.718667e+98
taylor,9,0.900000,0.1,0.098,4,1.634803e+114,1.278594e+57,1.634803e+114
taylor,10,1.000000,0.1,0.106,4,1.575153e+130,1.255051e+65,1.575153e+130
