method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel,K_used,bn_ratio
cheb,1,0.000010,1e-05,0.227,6,2.220446e-16,1.231522e-15,1.516646e-30,7,1.366824e-14
cheb,1001,0.010010,1e-05,0.087,6,5.755396e-13,2.911885e-13,8.479077e-26,7,1.366824e-14
cheb,2001,0.020010,1e-05,0.072,6,1.149747e-12,5.798978e-13,3.362814e-25,7,1.366824e-14
cheb,3001,0.030010,1e-05,0.071,6,1.721734e-12,8.677845e-13,7.530499e-25,7,1.366824e-14
cheb,4001,0.040010,1e-05,0.070,6,2.297273e-12,1.156058e-12,1.336470e-24,7,1.366824e-14
cheb,5001,0.050010,1e-05,0.070,6,2.871925e-12,1.444144e-12,2.085553e-24,7,1.366824e-14
cheb,6001,0.060010,1e-05,0.076,6,3.443468e-12,1.731094e-12,2.996687e-24,7,1.366824e-14
cheb,7001,0.070010,1e-05,0.070,6,4.018563e-12,2.019572e-12,4.078671e-24,7,1.366824e-14
cheb,8001,0.080010,1e-05,0.070,6,4.592327e-12,2.307111e-12,5.322760e-24,7,1.366824e-14
cheb,9001,0.090010,1e-05,0.068,6,5.165424e-12,2.595374e-12,6.735968e-24,7,1.366824e-14
cheb,10001,0.100010,1e-05,0.111,6,5.745404e-12,2.886018e-12,8.329100e-24,7,1.366824e-14
cheb,11001,0.110010,1e-05,0.072,6,6.330714e-12,3.178537e-12,1.010310e-23,7,1.366824e-14
cheb,12001,0.120010,1e-05,0.075,6,6.916467e-12,3.472544e-12,1.205856e-23,7,1.366824e-14
cheb,13001,0.130010,1e-05,0.070,6,7.494005e-12,3.762509e-12,1.415648e-23,7,1.366824e-14
cheb,14001,0.140010,1e-05,0.070,6,8.068435e-12,4.050562e-12,1.640705e-23,7,1.366824e-14
cheb,15001,0.150010,1e-05,0.068,6,8.640644e-12,4.337048e-12,1.880999e-23,7,1.366824e-14
cheb,16001,0.160010,1e-05,0.069,6,9.215295e-12,4.625318e-12,2.139357e-23,7,1.366824e-14
cheb,17001,0.170010,1e-05,0.068,6,9.794610e-12,4.914680e-12,2.415408e-23,7,1.366824e-14
cheb,18001,0.180010,1e-05,0.068,6,1.038769e-11,5.212874e-12,2.717405e-23,7,1.366824e-14
cheb,19001,0.190010,1e-05,0.068,6,1.098011e-11,5.510646e-12,3.036722e-23,7,1.366824e-14
cheb,20001,0.200010,1e-05,0.068,6,1.156453e-11,5.803532e-12,3.368098e-23,7,1.366824e-14
cheb,21001,0.210010,1e-05,0.069,6,1.214540e-11,6.095121e-12,3.715050e-23,7,1.366824e-14
cheb,22001,0.220010,1e-05,0.068,6,1.272071e-11,6.383303e-12,4.074656e-23,7,1.366824e-14
cheb,23001,0.230010,1e-05,0.114,6,1.329092e-11,6.669440e-12,4.448142e-23,7,1.366824e-14
cheb,24001,0.240010,1e-05,0.068,6,1.386846e-11,6.957642e-12,4.840878e-23,7,1.366824e-14
cheb,25001,0.250010,1e-05,0.068,6,1.445333e-11,7.251326e-12,5.258172e-23,7,1.366824e-14
cheb,26001,0.260010,1e-05,0.068,6,1.504619e-11,7.548312e-12,5.697702e-23,7,1.366824e-14
cheb,27001,0.270010,1e-05,0.069,6,1.562173e-11,7.837525e-12,6.142679e-23,7,1.366824e-14
cheb,28001,0.280010,1e-05,0.112,6,1.618217e-11,8.118823e-12,6.591528e-23,7,1.366824e-14
cheb,29001,0.290010,1e-05,0.075,6,1.674438e-11,8.402047e-12,7.059439e-23,7,1.366824e-14
cheb,30001,0.300010,1e-05,0.069,6,1.730305e-11,8.682842e-12,7.539175e-23,7,1.366824e-14
cheb,31001,0.310010,1e-05,0.068,6,1.786016e-11,8.962437e-12,8.032528e-23,7,1.366824e-14
cheb,32001,0.320010,1e-05,0.068,6,1.842926e-11,9.248357e-12,8.553210e-23,7,1.366824e-14
cheb,33001,0.330010,1e-05,0.068,6,1.899192e-11,9.529208e-12,9.080581e-23,7,1.366824e-14
cheb,34001,0.340010,1e-05,0.070,6,1.955747e-11,9.814317e-12,9.632082e-23,7,1.366824e-14
cheb,35001,0.350010,1e-05,0.070,6,2.012279e-11,1.009780e-11,1.019656e-22,7,1.366824e-14
cheb,36001,0.360010,1e-05,0.069,6,2.069078e-11,1.038181e-11,1.077820e-22,7,1.366824e-14
cheb,37001,0.370010,1e-05,0.068,6,2.127187e-11,1.067375e-11,1.139289e-22,7,1.366824e-14
cheb,38001,0.380010,1e-05,0.069,6,2.184875e-11,1.096502e-11,1.202317e-22,7,1.366824e-14
cheb,39001,0.390010,1e-05,0.068,6,2.242739e-11,1.125519e-11,1.266793e-22,7,1.366824e-14
cheb,40001,0.400010,1e-05,0.110,6,2.300449e-11,1.154305e-11,1.332419e-22,7,1.366824e-14
cheb,41001,0.410010,1e-05,0.068,6,2.357470e-11,1.182938e-11,1.399342e-22,7,1.366824e-14
cheb,42001,0.420010,1e-05,0.068,6,2.416023e-11,1.212263e-11,1.469582e-22,7,1.366824e-14
