method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel,K_used,bn_ratio
cheb,1,0.010000,0.01,1.974,52,1.169065e-13,2.165582e-13,4.689746e-26,53,2.829447e-12
cheb,16,0.160000,0.01,4.500,52,1.875056e-12,3.311597e-12,1.096667e-23,53,2.829447e-12
cheb,31,0.310000,0.01,1.689,52,3.631428e-12,6.370194e-12,4.057937e-23,53,2.829447e-12
cheb,46,0.460000,0.01,1.880,52,5.389356e-12,9.428419e-12,8.889509e-23,53,2.829447e-12
cheb,61,0.610000,0.01,5.943,52,7.149059e-12,1.241049e-11,1.540203e-22,53,2.829447e-12
cheb,76,0.760000,0.01,1.788,52,8.906542e-12,1.539216e-11,2.369187e-22,53,2.829447e-12
cheb,91,0.910000,0.01,1.629,52,1.066414e-11,1.833725e-11,3.362549e-22,53,2.829447e-12
cheb,106,1.060000,0.01,1.801,52,1.242295e-11,2.129480e-11,4.534687e-22,53,2.829447e-12
cheb,121,1.210000,0.01,1.704,52,1.418099e-11,2.427313e-11,5.891850e-22,53,2.829447e-12
cheb,136,1.360000,0.01,1.681,52,1.593847e-11,2.723324e-11,7.416491e-22,53,2.829447e-12
cheb,151,1.510000,0.01,3.100,52,1.769573e-11,3.018372e-11,9.110567e-22,53,2.829447e-12
cheb,166,1.660000,0.01,1.969,52,1.945377e-11,3.311799e-11,1.096801e-21,53,2.829447e-12
cheb,181,1.810000,0.01,1.700,52,2.121192e-11,3.606663e-11,1.300802e-21,53,2.829447e-12
cheb,196,1.960000,0.01,1.692,52,2.297029e-11,3.906415e-11,1.526008e-21,53,2.829447e-12
cheb,211,2.110000,0.01,1.681,52,2.472711e-11,4.217553e-11,1.778776e-21,53,2.829447e-12
cheb,226,2.260000,0.01,1.692,52,2.648493e-11,4.525862e-11,2.048343e-21,53,2.829447e-12
cheb,241,2.410000,0.01,1.691,52,2.824374e-11,4.822682e-11,2.325826e-21,53,2.829447e-12
cheb,256,2.560000,0.01,1.645,52,3.000333e-11,5.113432e-11,2.614719e-21,53,2.829447e-12
cheb,271,2.710000,0.01,0.923,52,3.176082e-11,5.403349e-11,2.919618e-21,53,2.829447e-12
cheb,286,2.860000,0.01,1.152,52,3.351908e-11,5.693710e-11,3.241834e-21,53,2.829447e-12
cheb,301,3.010000,0.01,1.662,52,3.527545e-11,5.984582e-11,3.581522e-21,53,2.829447e-12
cheb,316,3.160000,0.01,1.810,52,3.703415e-11,6.275557e-11,3.938262e-21,53,2.829447e-12
cheb,331,3.310000,0.01,2.100,52,3.878975e-11,6.566492e-11,4.311882e-21,53,2.829447e-12
cheb,346,3.460000,0.01,1.890,52,4.055078e-11,6.858827e-11,4.704350e-21,53,2.829447e-12
cheb,361,3.610000,0.01,1.739,52,4.230793e-11,7.153391e-11,5.117100e-21,53,2.829447e-12
cheb,376,3.760000,0.01,1.696,52,4.406431e-11,7.450341e-11,5.550759e-21,53,2.829447e-12
cheb,391,3.910000,0.01,1.754,52,4.582201e-11,7.748571e-11,6.004036e-21,53,2.829447e-12
cheb,406,4.060000,0.01,0.953,52,4.758016e-11,8.049445e-11,6.479356e-21,53,2.829447e-12
cheb,421,4.210000,0.01,1.716,52,4.933642e-11,8.349648e-11,6.971663e-21,53,2.829447e-12
cheb,436,4.360000,0.01,1.548,52,5.109679e-11,8.650354e-11,7.482863e-21,53,2.829447e-12
cheb,451,4.510000,0.01,1.699,52,5.285417e-11,8.950216e-11,8.010636e-21,53,2.829447e-12
cheb,466,4.660000,0.01,1.861,52,5.460865e-11,9.246604e-11,8.549969e-21,53,2.829447e-12
cheb,481,4.810000,0.01,1.351,52,5.636891e-11,9.538960e-11,9.099176e-21,53,2.829447e-12
cheb,496,4.960000,0.01,1.668,52,5.813006e-11,9.829497e-11,9.661900e-21,53,2.829447e-12
cheb,511,5.110000,0.01,1.734,52,5.988521e-11,1.012003e-10,1.024150e-20,53,2.829447e-12
cheb,526,5.260000,0.01,1.692,52,6.164436e-11,1.041054e-10,1.083794e-20,53,2.829447e-12
cheb,541,5.410000,0.01,1.143,52,6.340350e-11,1.070243e-10,1.145421e-20,53,2.829447e-12
cheb,556,5.560000,0.01,1.800,52,6.515855e-11,1.099434e-10,1.208754e-20,53,2.829447e-12
cheb,571,5.710000,0.01,0.921,52,6.692102e-11,1.128535e-10,1.273590e-20,53,2.829447e-12
cheb,586,5.860000,0.01,1.895,52,6.867451e-11,1.157938e-10,1.340821e-20,53,2.829447e-12
cheb,601,6.010000,0.01,1.760,52,7.043321e-11,1.187278e-10,1.409630e-20,53,2.829447e-12
cheb,616,6.160000,0.01,1.724,52,7.219225e-11,1.216617e-10,1.480157e-20,53,2.829447e-12
cheb,631,6.310000,0.01,1.736,52,7.394818e-11,1.246070e-10,1.552690e-20,53,2.829447e-12
cheb,646,6.460000,0.01,1.706,52,7.570755e-11,1.275387e-10,1.626612e-20,53,2.829447e-12
cheb,661,6.610000,0.01,1.804,52,7.746304e-11,1.304616e-10,1.702022e-20,53,2.829447e-12
cheb,676,6.760000,0.01,1.803,52,7.922207e-11,1.333915e-10,1.779329e-20,53,2.829447e-12
cheb,691,6.910000,0.01,1.774,52,8.097845e-11,1.363221e-10,1.858370e-20,53,2.829447e-12
cheb,706,7.060000,0.01,1.151,52,8.273804e-11,1.392396e-10,1.938767e-20,53,2.829447e-12
cheb,721,7.210000,0.01,1.943,52,8.449486e-11,1.421597e-10,2.020939e-20,53,2.829447e-12
cheb,736,7.360000,0.01,1.044,52,8.625478e-11,1.450729e-10,2.104615e-20,53,2.829447e-12
cheb,751,7.510000,0.01,1.708,52,8.800960e-11,1.479841e-10,2.189929e-20,53,2.829447e-12
cheb,766,7.660000,0.01,2.318,52,8.976853e-11,1.508974e-10,2.277001e-20,53,2.829447e-12
cheb,781,7.810000,0.01,1.712,52,9.152867e-11,1.538233e-10,2.366162e-20,53,2.829447e-12
cheb,796,7.960000,0.01,1.757,52,9.328416e-11,1.567585e-10,2.457322e-20,53,2.829447e-12
cheb,811,8.110000,0.01,1.650,52,9.504142e-11,1.597142e-10,2.550862e-20,53,2.829447e-12
cheb,826,8.260000,0.01,1.640,52,9.680035e-11,1.626800e-10,2.646477e-20,53,2.829447e-12
cheb,841,8.410000,0.01,1.469,52,9.855894e-11,1.656639e-10,2.744452e-20,53,2.829447e-12
cheb,856,8.560000,0.01,1.693,52,1.003154e-10,1.686498e-10,2.844277e-20,53,2.829447e-12
cheb,871,8.710000,0.01,1.688,52,1.020740e-10,1.716436e-10,2.946153e-20,53,2.829447e-12
cheb,886,8.860000,0.01,1.695,52,1.038307e-10,1.746311e-10,3.049604e-20,53,2.829447e-12
cheb,901,9.010000,0.01,1.611,52,1.055872e-10,1.776072e-10,3.154433e-20,53,2.829447e-12
cheb,916,9.160000,0.01,1.712,52,1.073467e-10,1.805647e-10,3.260360e-20,53,2.829447e-12
cheb,931,9.310000,0.01,1.663,52,1.091035e-10,1.835043e-10,3.367384e-20,53,2.829447e-12
cheb,946,9.460000,0.01,1.648,52,1.108629e-10,1.864853e-10,3.477675e-20,53,2.829447e-12
cheb,961,9.610000,0.01,1.636,52,1.126197e-10,1.894202e-10,3.588001e-20,53,2.829447e-12
cheb,976,9.760000,0.01,1.569,52,1.143765e-10,1.923278e-10,3.698999e-20,53,2.829447e-12
cheb,991,9.910000,0.01,1.632,52,1.161358e-10,1.951966e-10,3.810172e-20,53,2.829447e-12
cheb,1006,10.060000,0.01,1.653,52,1.178937e-10,1.981429e-10,3.926061e-20,53,2.829447e-12
cheb,1021,10.210000,0.01,1.765,52,1.196518e-10,2.010882e-10,4.043646e-20,53,2.829447e-12
cheb,1036,10.360000,0.01,1.616,52,1.214091e-10,2.040527e-10,4.163750e-20,53,2.829447e-12
cheb,1051,10.510000,0.01,0.823,52,1.231650e-10,2.069894e-10,4.284462e-20,53,2.829447e-12
cheb,1066,10.660000,0.01,2.172,52,1.249232e-10,2.099505e-10,4.407919e-20,53,2.829447e-12
cheb,1081,10.810000,0.01,1.556,52,1.266822e-10,2.129221e-10,4.533581e-20,53,2.829447e-12
cheb,1096,10.960000,0.01,1.620,52,1.284397e-10,2.158865e-10,4.660697e-20,53,2.829447e-12
cheb,1111,11.110000,0.01,1.657,52,1.301962e-10,2.188444e-10,4.789287e-20,53,2.829447e-12
cheb,1126,11.260000,0.01,1.645,52,1.319538e-10,2.217896e-10,4.919065e-20,53,2.829447e-12
