method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.000100,0.0001,0.220,7,2.220446e-16,1.055355e-15,1.113774e-30
taylor,10001,1.000100,0.0001,0.149,7,3.796963e-14,6.698932e-13,4.487569e-25
taylor,20001,2.000100,0.0001,0.158,7,1.405542e-13,1.286339e-12,1.654667e-24
taylor,30001,3.000100,0.0001,0.152,7,2.267075e-13,6.828035e-12,4.662206e-23
taylor,40001,4.000100,0.0001,0.164,7,2.535749e-13,1.426076e-11,2.033693e-22
taylor,50001,5.000100,0.0001,0.159,7,2.535749e-13,6.299697e-12,3.968619e-23
taylor,60001,6.000100,0.0001,0.172,7,2.511324e-13,3.026609e-12,9.160364e-24
taylor,70001,7.000100,0.0001,0.134,7,2.515765e-13,1.051033e-11,1.104669e-22
taylor,80001,8.000100,0.0001,0.134,7,2.495781e-13,1.853310e-11,3.434756e-22
taylor,90001,9.000100,0.0001,0.135,7,2.500222e-13,2.662230e-11,7.087468e-22
taylor,100000,10.000000,0.0001,0.137,7,2.537970e-13,3.472635e-11,1.205919e-21
