method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
rk4,1,0.000010,1e-05,0.118,4,6.661338e-16,9.193750e-16,8.452504e-31
rk4,1001,0.010010,1e-05,0.041,4,2.442491e-15,6.096248e-14,3.716424e-27
rk4,2001,0.020010,1e-05,0.041,4,2.220446e-16,1.089089e-13,1.186115e-26
rk4,3001,0.030010,1e-05,0.041,4,2.220446e-16,1.532791e-13,2.349449e-26
rk4,4001,0.040010,1e-05,0.041,4,1.110223e-15,1.935504e-13,3.746174e-26
rk4,5001,0.050010,1e-05,0.041,4,6.661338e-16,2.309008e-13,5.331519e-26
rk4,6001,0.060010,1e-05,0.041,4,1.332268e-15,2.664501e-13,7.099564e-26
rk4,7001,0.070010,1e-05,0.041,4,2.220446e-15,3.035450e-13,9.213957e-26
rk4,8001,0.080010,1e-05,0.041,4,1.332268e-15,3.409503e-13,1.162471e-25
rk4,9001,0.090010,1e-05,0.041,4,1.332268e-15,3.777471e-13,1.426929e-25
rk4,10001,0.100010,1e-05,0.041,4,4.440892e-16,4.139448e-13,1.713503e-25
rk4,11001,0.110010,1e-05,0.041,4,1.776357e-15,4.493453e-13,2.019112e-25
rk4,12001,0.120010,1e-05,0.060,4,0.000000e+00,4.846195e-13,2.348560e-25
rk4,13001,0.130010,1e-05,0.048,4,1.110223e-15,5.153452e-13,2.655807e-25
rk4,14001,0.140010,1e-05,0.041,4,2.220446e-15,5.412469e-13,2.929482e-25
rk4,15001,0.150010,1e-05,0.041,4,2.220446e-16,5.666270e-13,3.210661e-25
rk4,16001,0.160010,1e-05,0.041,4,6.661338e-16,5.920439e-13,3.505160e-25
rk4,17001,0.170010,1e-05,0.041,4,6.661338e-16,6.171686e-13,3.808971e-25
rk4,18001,0.180010,1e-05,0.041,4,6.661338e-16,6.426220e-13,4.129630e-25
rk4,19001,0.190010,1e-05,0.042,4,4.440892e-16,6.680787e-13,4.463291e-25
rk4,20001,0.200010,1e-05,0.062,4,6.661338e-16,6.936630e-13,4.811683e-25
rk4,21001,0.210010,1e-05,0.041,4,1.110223e-16,7.193631e-13,5.174833e-25
rk4,22001,0.220010,1e-05,0.041,4,6.661338e-16,7.452947e-13,5.554642e-25
rk4,23001,0.230010,1e-05,0.042,4,1.332268e-15,7.717648e-13,5.956209e-25
rk4,24001,0.240010,1e-05,0.042,4,1.110223e-15,7.985588e-13,6.376962e-25
rk4,25001,0.250010,1e-05,0.045,4,2.220446e-16,8.259172e-13,6.821392e-25
rk4,26001,0.260010,1e-05,0.042,4,8.881784e-16,8.531891e-13,7.279317e-25
rk4,27001,0.270010,1e-05,0.042,4,1.554312e-15,8.802742e-13,7.748827e-25
rk4,28001,0.280010,1e-05,0.041,4,1.554312e-15,9.071297e-13,8.228843e-25
