method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.001000,0.001,0.175,5,5.642109e-11,3.831705e-11,1.468197e-21
taylor,11,0.011000,0.001,0.116,5,6.206284e-10,4.214881e-10,1.776522e-19
taylor,21,0.021000,0.001,0.116,5,1.184833e-09,8.046592e-10,6.474765e-19
taylor,31,0.031000,0.001,0.112,5,1.749040e-09,1.187830e-09,1.410941e-18
taylor,41,0.041000,0.001,0.117,5,2.313245e-09,1.571002e-09,2.468046e-18
taylor,51,0.051000,0.001,0.117,5,2.877451e-09,1.954173e-09,3.818790e-18
taylor,61,0.061000,0.001,0.119,5,3.441656e-09,2.337344e-09,5.463175e-18
taylor,71,0.071000,0.001,0.117,5,4.005862e-09,2.720515e-09,7.401200e-18
taylor,81,0.081000,0.001,0.110,5,4.570068e-09,3.103685e-09,9.632864e-18
taylor,91,0.091000,0.001,0.102,5,5.134273e-09,3.486856e-09,1.215817e-17
taylor,101,0.101000,0.001,0.126,5,5.698480e-09,3.870027e-09,1.497711e-17
taylor,111,0.111000,0.001,0.103,5,6.262685e-09,4.253197e-09,1.808969e-17
taylor,121,0.121000,0.001,0.110,5,6.826891e-09,4.636368e-09,2.149590e-17
taylor,131,0.131000,0.001,0.118,5,7.391096e-09,5.019537e-09,2.519575e-17
taylor,141,0.141000,0.001,0.109,5,7.955302e-09,5.402707e-09,2.918924e-17
taylor,151,0.151000,0.001,0.110,5,8.519510e-09,5.785876e-09,3.347636e-17
taylor,161,0.161000,0.001,0.115,5,9.083714e-09,6.169045e-09,3.805712e-17
taylor,171,0.171000,0.001,0.135,5,9.647921e-09,6.552214e-09,4.293151e-17
taylor,181,0.181000,0.001,0.115,5,1.021212e-08,6.935383e-09,4.809954e-17
taylor,191,0.191000,0.001,0.061,5,1.077633e-08,7.318552e-09,5.356120e-17
taylor,201,0.201000,0.001,0.109,5,1.134054e-08,7.701721e-09,5.931650e-17
taylor,211,0.211000,0.001,0.113,5,1.190474e-08,8.084890e-09,6.536545e-17
taylor,221,0.221000,0.001,0.105,5,1.246895e-08,8.468059e-09,7.170803e-17
taylor,231,0.231000,0.001,0.108,5,1.303315e-08,8.851228e-09,7.834424e-17
taylor,241,0.241000,0.001,0.108,5,1.359736e-08,9.234398e-09,8.527410e-17
taylor,251,0.251000,0.001,0.112,5,1.416157e-08,9.617567e-09,9.249760e-17
taylor,261,0.261000,0.001,0.115,5,1.472577e-08,1.000074e-08,1.000147e-16
taylor,271,0.271000,0.001,0.116,5,1.528998e-08,1.038391e-08,1.078255e-16
taylor,281,0.281000,0.001,0.113,5,1.585418e-08,1.076708e-08,1.159299e-16
taylor,291,0.291000,0.001,0.113,5,1.641839e-08,1.115024e-08,1.243279e-16
taylor,301,0.301000,0.001,0.117,5,1.698259e-08,1.153341e-08,1.330196e-16
taylor,311,0.311000,0.001,0.115,5,1.754680e-08,1.191658e-08,1.420049e-16
taylor,321,0.321000,0.001,0.109,5,1.811101e-08,1.229975e-08,1.512839e-16
taylor,331,0.331000,0.001,0.115,5,1.867521e-08,1.268292e-08,1.608564e-16
taylor,341,0.341000,0.001,0.111,5,1.923942e-08,1.306609e-08,1.707226e-16
taylor,351,0.351000,0.001,0.116,5,1.980362e-08,1.344926e-08,1.808825e-16
taylor,361,0.361000,0.001,0.113,5,2.036783e-08,1.383242e-08,1.913359e-16
taylor,371,0.371000,0.001,0.110,5,2.093203e-08,1.421559e-08,2.020830e-16
taylor,381,0.381000,0.001,0.114,5,2.149624e-08,1.459876e-08,2.131238e-16
taylor,391,0.391000,0.001,0.110,5,2.206045e-08,1.498193e-08,2.244582e-16
taylor,401,0.401000,0.001,0.112,5,2.262465e-08,1.536510e-08,2.360862e-16
taylor,411,0.411000,0.001,0.112,5,2.318886e-08,1.574826e-08,2.480078e-16
taylor,421,0.421000,0.001,0.113,5,2.375306e-08,1.613143e-08,2.602231e-16
taylor,431,0.431000,0.001,0.109,5,2.431727e-08,1.651460e-08,2.727321e-16
taylor,441,0.441000,0.001,0.113,5,2.488147e-08,1.689777e-08,2.855347e-16
taylor,451,0.451000,0.001,0.115,5,2.544568e-08,1.728094e-08,2.986309e-16
taylor,461,0.461000,0.001,0.116,5,2.600989e-08,1.766411e-08,3.120209e-16
taylor,471,0.471000,0.001,0.117,5,2.657409e-08,1.804728e-08,3.257044e-16
taylor,481,0.481000,0.001,0.115,5,2.713830e-08,1.843046e-08,3.396817e-16
taylor,491,0.491000,0.001,0.104,5,2.770250e-08,1.881363e-08,3.539526e-16
taylor,501,0.501000,0.001,0.119,5,2.826671e-08,1.919680e-08,3.685172e-16
taylor,511,0.511000,0.001,0.115,5,2.883092e-08,1.957997e-08,3.833754e-16
taylor,521,0.521000,0.001,0.108,5,2.939512e-08,1.996315e-08,3.985273e-16
taylor,531,0.531000,0.001,0.104,5,2.995933e-08,2.034632e-08,4.139728e-16
taylor,541,0.541000,0.001,0.104,5,3.052353e-08,2.072949e-08,4.297120e-16
taylor,551,0.551000,0.001,0.116,5,3.108774e-08,2.111267e-08,4.457448e-16
taylor,561,0.561000,0.001,0.114,5,3.165194e-08,2.149584e-08,4.620713e-16
taylor,571,0.571000,0.001,0.125,5,3.221615e-08,2.187902e-08,4.786914e-16
taylor,581,0.581000,0.001,0.104,5,3.278036e-08,2.226219e-08,4.956051e-16
taylor,591,0.591000,0.001,0.103,5,3.334456e-08,2.264536e-08,5.128125e-16
taylor,601,0.601000,0.001,0.107,5,3.390877e-08,2.302854e-08,5.303135e-16
taylor,611,0.611000,0.001,0.110,5,3.447297e-08,2.341171e-08,5.481081e-16
taylor,621,0.621000,0.001,0.117,5,3.503718e-08,2.379488e-08,5.661963e-16
taylor,631,0.631000,0.001,0.103,5,3.560138e-08,2.417805e-08,5.845782e-16
taylor,641,0.641000,0.001,0.103,5,3.616559e-08,2.456122e-08,6.032536e-16
taylor,651,0.651000,0.001,0.110,5,3.672979e-08,2.494439e-08,6.222227e-16
taylor,661,0.661000,0.001,0.107,5,3.729400e-08,2.532756e-08,6.414854e-16
taylor,671,0.671000,0.001,0.104,5,3.785821e-08,2.571073e-08,6.610417e-16
taylor,681,0.681000,0.001,0.113,5,3.842241e-08,2.609390e-08,6.808916e-16
taylor,691,0.691000,0.001,0.110,5,3.898662e-08,2.647707e-08,7.010351e-16
taylor,701,0.701000,0.001,0.104,5,3.955082e-08,2.686024e-08,7.214722e-16
taylor,711,0.711000,0.001,0.104,5,4.011503e-08,2.724340e-08,7.422030e-16
taylor,721,0.721000,0.001,0.109,5,4.067924e-08,2.762657e-08,7.632274e-16
taylor,731,0.731000,0.001,0.110,5,4.124344e-08,2.800974e-08,7.845454e-16
taylor,741,0.741000,0.001,0.104,5,4.180765e-08,2.839290e-08,8.061570e-16
taylor,751,0.751000,0.001,0.104,5,4.237185e-08,2.877607e-08,8.280623e-16
taylor,761,0.761000,0.001,0.095,5,4.293606e-08,2.915924e-08,8.502612e-16
taylor,771,0.771000,0.001,0.320,5,4.350026e-08,2.954241e-08,8.727538e-16
taylor,781,0.781000,0.001,0.103,5,4.406447e-08,2.992557e-08,8.955400e-16
taylor,791,0.791000,0.001,0.099,5,4.462867e-08,3.030874e-08,9.186199e-16
taylor,801,0.801000,0.001,0.090,5,4.519288e-08,3.069191e-08,9.419934e-16
taylor,811,0.811000,0.001,0.115,5,4.575709e-08,3.107508e-08,9.656606e-16
taylor,821,0.821000,0.001,0.096,5,4.632129e-08,3.145825e-08,9.896214e-16
taylor,831,0.831000,0.001,0.099,5,4.688550e-08,3.184142e-08,1.013876e-15
taylor,841,0.841000,0.001,0.108,5,4.744970e-08,3.222459e-08,1.038424e-15
taylor,851,0.851000,0.001,0.102,5,4.801391e-08,3.260776e-08,1.063266e-15
taylor,861,0.861000,0.001,0.100,5,4.857812e-08,3.299092e-08,1.088401e-15
taylor,871,0.871000,0.001,0.102,5,4.914232e-08,3.337409e-08,1.113830e-15
taylor,881,0.881000,0.001,0.103,5,4.970653e-08,3.375726e-08,1.139553e-15
taylor,891,0.891000,0.001,0.105,5,5.027073e-08,3.414043e-08,1.165569e-15
taylor,901,0.901000,0.001,0.054,5,5.083494e-08,3.452360e-08,1.191879e-15
taylor,911,0.911000,0.001,0.054,5,5.139915e-08,3.490677e-08,1.218483e-15
taylor,921,0.921000,0.001,0.111,5,5.196335e-08,3.528994e-08,1.245380e-15
taylor,931,0.931000,0.001,0.067,5,5.252756e-08,3.567311e-08,1.272571e-15
taylor,941,0.941000,0.001,0.057,5,5.309176e-08,3.605628e-08,1.300055e-15
taylor,951,0.951000,0.001,0.112,5,5.365597e-08,3.643945e-08,1.327833e-15
taylor,961,0.961000,0.001,0.101,5,5.422017e-08,3.682262e-08,1.355905e-15
taylor,971,0.971000,0.001,0.054,5,5.478438e-08,3.720579e-08,1.384271e-15
taylor,981,0.981000,0.001,0.104,5,5.534859e-08,3.758896e-08,1.412930e-15
taylor,991,0.991000,0.001,0.104,5,5.591279e-08,3.797213e-08,1.441882e-15
taylor,1000,1.000000,0.001,0.100,5,5.642057e-08,3.831698e-08,1.468191e-15
