method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel,K_used,bn_ratio
cheb,1,0.001000,0.001,1.003,12,1.949552e-13,1.212555e-13,1.470290e-26,13,3.717195e-12
cheb,11,0.011000,0.001,0.448,12,2.139289e-12,1.331663e-12,1.773325e-24,13,3.717195e-12
cheb,21,0.021000,0.001,0.431,12,4.083289e-12,2.542248e-12,6.463025e-24,13,3.717195e-12
cheb,31,0.031000,0.001,0.423,12,6.029954e-12,3.752743e-12,1.408308e-23,13,3.717195e-12
cheb,41,0.041000,0.001,0.431,12,7.975287e-12,4.963533e-12,2.463666e-23,13,3.717195e-12
cheb,51,0.051000,0.001,0.457,12,9.919732e-12,6.174161e-12,3.812027e-23,13,3.717195e-12
cheb,61,0.061000,0.001,0.310,12,1.186551e-11,7.384682e-12,5.453353e-23,13,3.717195e-12
cheb,71,0.071000,0.001,0.435,12,1.381040e-11,8.595687e-12,7.388584e-23,13,3.717195e-12
cheb,81,0.081000,0.001,0.441,12,1.575506e-11,9.806477e-12,9.616698e-23,13,3.717195e-12
cheb,91,0.091000,0.001,0.243,12,1.770040e-11,1.101748e-11,1.213848e-22,13,3.717195e-12
cheb,101,0.101000,0.001,0.532,12,1.964595e-11,1.222785e-11,1.495204e-22,13,3.717195e-12
cheb,111,0.111000,0.001,0.421,12,2.159017e-11,1.343858e-11,1.805956e-22,13,3.717195e-12
cheb,121,0.121000,0.001,0.444,12,2.353395e-11,1.464921e-11,2.145992e-22,13,3.717195e-12
cheb,131,0.131000,0.001,0.416,12,2.548062e-11,1.585981e-11,2.515337e-22,13,3.717195e-12
cheb,141,0.141000,0.001,0.480,12,2.742528e-11,1.707014e-11,2.913896e-22,13,3.717195e-12
cheb,151,0.151000,0.001,0.490,12,2.936951e-11,1.828059e-11,3.341801e-22,13,3.717195e-12
cheb,161,0.161000,0.001,0.486,12,3.131462e-11,1.949125e-11,3.799090e-22,13,3.717195e-12
cheb,171,0.171000,0.001,0.438,12,3.325951e-11,2.070147e-11,4.285507e-22,13,3.717195e-12
cheb,181,0.181000,0.001,0.438,12,3.520484e-11,2.191200e-11,4.801357e-22,13,3.717195e-12
cheb,191,0.191000,0.001,0.385,12,3.715017e-11,2.312235e-11,5.346429e-22,13,3.717195e-12
cheb,201,0.201000,0.001,0.418,12,3.909428e-11,2.433250e-11,5.920705e-22,13,3.717195e-12
cheb,211,0.211000,0.001,0.427,12,4.104084e-11,2.554276e-11,6.524328e-22,13,3.717195e-12
cheb,221,0.221000,0.001,0.529,12,4.298428e-11,2.675305e-11,7.157259e-22,13,3.717195e-12
cheb,231,0.231000,0.001,0.420,12,4.492873e-11,2.796328e-11,7.819452e-22,13,3.717195e-12
cheb,241,0.241000,0.001,0.445,12,4.687362e-11,2.917347e-11,8.510913e-22,13,3.717195e-12
cheb,251,0.251000,0.001,0.432,12,4.881984e-11,3.038375e-11,9.231721e-22,13,3.717195e-12
cheb,261,0.261000,0.001,0.393,12,5.076406e-11,3.159420e-11,9.981937e-22,13,3.717195e-12
cheb,271,0.271000,0.001,0.442,12,5.270895e-11,3.280453e-11,1.076137e-21,13,3.717195e-12
cheb,281,0.281000,0.001,0.422,12,5.465428e-11,3.401489e-11,1.157013e-21,13,3.717195e-12
cheb,291,0.291000,0.001,0.454,12,5.659850e-11,3.522525e-11,1.240818e-21,13,3.717195e-12
cheb,301,0.301000,0.001,0.239,12,5.854495e-11,3.643534e-11,1.327534e-21,13,3.717195e-12
cheb,311,0.311000,0.001,0.435,12,6.048828e-11,3.764575e-11,1.417203e-21,13,3.717195e-12
cheb,321,0.321000,0.001,0.449,12,6.243239e-11,3.885601e-11,1.509790e-21,13,3.717195e-12
cheb,331,0.331000,0.001,0.527,12,6.437961e-11,4.006641e-11,1.605317e-21,13,3.717195e-12
cheb,341,0.341000,0.001,0.429,12,6.632450e-11,4.127651e-11,1.703750e-21,13,3.717195e-12
cheb,351,0.351000,0.001,0.242,12,6.826872e-11,4.248652e-11,1.805104e-21,13,3.717195e-12
cheb,361,0.361000,0.001,0.420,12,7.021350e-11,4.369674e-11,1.909405e-21,13,3.717195e-12
cheb,371,0.371000,0.001,0.415,12,7.215861e-11,4.490687e-11,2.016627e-21,13,3.717195e-12
cheb,381,0.381000,0.001,0.242,12,7.410539e-11,4.611690e-11,2.126769e-21,13,3.717195e-12
cheb,391,0.391000,0.001,0.434,12,7.604894e-11,4.732670e-11,2.239817e-21,13,3.717195e-12
cheb,401,0.401000,0.001,0.389,12,7.799472e-11,4.853683e-11,2.355824e-21,13,3.717195e-12
cheb,411,0.411000,0.001,0.419,12,7.993906e-11,4.974665e-11,2.474729e-21,13,3.717195e-12
cheb,421,0.421000,0.001,0.240,12,8.188306e-11,5.095650e-11,2.596565e-21,13,3.717195e-12
cheb,431,0.431000,0.001,0.422,12,8.382883e-11,5.216619e-11,2.721311e-21,13,3.717195e-12
cheb,441,0.441000,0.001,0.415,12,8.577350e-11,5.337606e-11,2.849003e-21,13,3.717195e-12
cheb,451,0.451000,0.001,0.415,12,8.771961e-11,5.458546e-11,2.979572e-21,13,3.717195e-12
cheb,461,0.461000,0.001,0.408,12,8.966261e-11,5.579547e-11,3.113135e-21,13,3.717195e-12
cheb,471,0.471000,0.001,0.231,12,9.160883e-11,5.700515e-11,3.249587e-21,13,3.717195e-12
cheb,481,0.481000,0.001,0.451,12,9.355461e-11,5.821442e-11,3.388919e-21,13,3.717195e-12
cheb,491,0.491000,0.001,0.393,12,9.549861e-11,5.942428e-11,3.531245e-21,13,3.717195e-12
cheb,501,0.501000,0.001,0.403,12,9.744261e-11,6.063400e-11,3.676481e-21,13,3.717195e-12
cheb,511,0.511000,0.001,3.374,12,9.938950e-11,6.184385e-11,3.824662e-21,13,3.717195e-12
cheb,521,0.521000,0.001,1.040,12,1.013342e-10,6.305335e-11,3.975725e-21,13,3.717195e-12
cheb,531,0.531000,0.001,0.541,12,1.032786e-10,6.426295e-11,4.129727e-21,13,3.717195e-12
