E_anal
0.049375
0.144375
0.234375
0.319375
0.399375
0.474375
0.544375
0.609375
0.669375
0.724375
0.774375
0.819375
0.859375
0.894375
0.924375
0.949375
0.969375
0.984375
0.994375
0.999375
