method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.000010,1e-05,0.198,6,1.110223e-16,1.187852e-15,1.410991e-30
taylor,15001,0.150010,1e-05,0.131,6,3.297362e-14,6.397712e-13,4.093072e-25
taylor,30001,0.300010,1e-05,0.117,6,4.207745e-14,8.081731e-12,6.531437e-23
taylor,45001,0.450010,1e-05,0.120,6,2.486900e-14,1.594316e-11,2.541844e-22
taylor,60001,0.600010,1e-05,0.130,6,3.630429e-14,4.407853e-12,1.942917e-23
taylor,75001,0.750010,1e-05,0.110,6,3.042011e-14,3.912602e-11,1.530846e-21
taylor,90001,0.900010,1e-05,0.141,6,2.953193e-14,7.385626e-11,5.454747e-21
taylor,105001,1.050010,1e-05,0.110,6,3.574918e-14,8.045074e-11,6.472322e-21
taylor,120001,1.200010,1e-05,0.113,6,2.398082e-14,3.095094e-11,9.579608e-22
taylor,135001,1.350010,1e-05,0.125,6,2.631229e-14,1.869110e-11,3.493573e-22
taylor,150001,1.500010,1e-05,0.125,6,2.653433e-14,6.857494e-11,4.702523e-21
taylor,165001,1.650010,1e-05,0.110,6,3.141931e-14,1.185324e-10,1.404993e-20
taylor,180001,1.800010,1e-05,0.126,6,3.930190e-14,1.683426e-10,2.833922e-20
taylor,195001,1.950010,1e-05,0.142,6,3.652634e-14,2.180611e-10,4.755065e-20
taylor,210001,2.100010,1e-05,0.132,6,3.574918e-14,2.678412e-10,7.173892e-20
taylor,225001,2.250010,1e-05,0.135,6,4.563017e-14,3.176872e-10,1.009251e-19
taylor,240001,2.400010,1e-05,0.150,6,5.340173e-14,3.675269e-10,1.350760e-19
taylor,255001,2.550010,1e-05,0.140,6,5.240253e-14,4.174039e-10,1.742260e-19
taylor,270001,2.700010,1e-05,0.125,6,5.084821e-14,4.671866e-10,2.182633e-19
taylor,285001,2.850010,1e-05,0.129,6,5.173639e-14,5.168386e-10,2.671222e-19
taylor,300001,3.000010,1e-05,0.111,6,5.395684e-14,5.664012e-10,3.208104e-19
taylor,315001,3.150010,1e-05,0.130,6,4.629630e-14,6.159512e-10,3.793959e-19
taylor,330001,3.300010,1e-05,0.134,6,5.606626e-14,6.655628e-10,4.429739e-19
taylor,345001,3.450010,1e-05,0.126,6,5.218048e-14,7.152453e-10,5.115759e-19
taylor,360001,3.600010,1e-05,0.109,6,6.239453e-14,7.649956e-10,5.852183e-19
taylor,375001,3.750010,1e-05,0.118,6,5.195844e-14,8.147836e-10,6.638723e-19
taylor,390001,3.900010,1e-05,0.118,6,5.828671e-14,8.645843e-10,7.475061e-19
taylor,405001,4.050010,1e-05,0.127,6,5.351275e-14,8.020389e-10,6.432664e-19
taylor,420001,4.200010,1e-05,0.135,6,4.085621e-14,5.149136e-10,2.651360e-19
taylor,435001,4.350010,1e-05,0.128,6,5.673240e-14,2.277673e-10,5.187793e-20
taylor,450001,4.500010,1e-05,0.131,6,6.827872e-14,5.942689e-11,3.531555e-21
taylor,465001,4.650010,1e-05,0.077,6,7.049916e-14,3.466212e-10,1.201462e-19
taylor,480001,4.800010,1e-05,0.131,6,8.348877e-14,6.338449e-10,4.017594e-19
taylor,495001,4.950010,1e-05,0.124,6,8.315570e-14,9.211071e-10,8.484383e-19
taylor,510001,5.100010,1e-05,0.139,6,8.681944e-14,1.208411e-09,1.460256e-18
taylor,525001,5.250010,1e-05,0.137,6,8.371082e-14,1.495747e-09,2.237258e-18
taylor,540001,5.400010,1e-05,0.137,6,8.315570e-14,1.783103e-09,3.179457e-18
taylor,555001,5.550010,1e-05,0.540,6,8.493206e-14,2.070478e-09,4.286878e-18
taylor,570001,5.700010,1e-05,0.118,6,7.704948e-14,2.357909e-09,5.559736e-18
taylor,585001,5.850010,1e-05,0.130,6,7.538414e-14,2.645300e-09,6.997611e-18
taylor,600001,6.000010,1e-05,0.134,6,6.861178e-14,2.932616e-09,8.600239e-18
taylor,615001,6.150010,1e-05,0.143,6,6.927792e-14,3.219987e-09,1.036831e-17
taylor,630001,6.300010,1e-05,0.143,6,6.805667e-14,3.507384e-09,1.230174e-17
taylor,645001,6.450010,1e-05,0.149,6,5.762057e-14,3.794748e-09,1.440011e-17
taylor,660001,6.600010,1e-05,0.138,6,5.784262e-14,4.082084e-09,1.666341e-17
taylor,675001,6.750010,1e-05,0.129,6,5.651035e-14,4.369370e-09,1.909139e-17
taylor,690001,6.900010,1e-05,0.147,6,5.029310e-14,4.656650e-09,2.168439e-17
