method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.000100,0.0001,0.141,4,0.000000e+00,3.948594e-14,1.559139e-27
taylor,1501,0.150100,0.0001,0.088,4,4.346523e-13,5.918152e-11,3.502452e-21
taylor,3001,0.300100,0.0001,0.046,4,8.706369e-13,1.176450e-10,1.384034e-20
taylor,4501,0.450100,0.0001,0.083,4,1.306066e-12,1.761211e-10,3.101864e-20
taylor,6001,0.600100,0.0001,0.083,4,1.739831e-12,2.346267e-10,5.504969e-20
taylor,7501,0.750100,0.0001,0.091,4,2.173928e-12,2.932753e-10,8.601042e-20
taylor,9001,0.900100,0.0001,0.087,4,2.611245e-12,3.519636e-10,1.238784e-19
taylor,10501,1.050100,0.0001,0.089,4,3.045453e-12,4.106260e-10,1.686137e-19
taylor,12001,1.200100,0.0001,0.086,4,3.481659e-12,4.692033e-10,2.201518e-19
taylor,13501,1.350100,0.0001,0.079,4,3.917200e-12,5.277583e-10,2.785288e-19
taylor,15001,1.500100,0.0001,0.081,4,4.353518e-12,5.862909e-10,3.437371e-19
taylor,16501,1.650100,0.0001,0.088,4,4.789835e-12,6.448425e-10,4.158218e-19
taylor,18001,1.800100,0.0001,0.045,4,5.225709e-12,7.035306e-10,4.949553e-19
taylor,19501,1.950100,0.0001,0.071,4,5.662248e-12,7.621782e-10,5.809156e-19
taylor,21001,2.100100,0.0001,0.084,4,6.097123e-12,8.305506e-10,6.898142e-19
taylor,22501,2.250100,0.0001,0.085,4,6.533440e-12,9.038780e-10,8.169955e-19
taylor,24001,2.400100,0.0001,0.084,4,6.967982e-12,9.772128e-10,9.549449e-19
taylor,25501,2.550100,0.0001,0.083,4,7.405077e-12,1.050593e-09,1.103746e-18
taylor,27001,2.700100,0.0001,0.083,4,7.840839e-12,1.124035e-09,1.263454e-18
taylor,28501,2.850100,0.0001,0.092,4,8.277823e-12,1.197552e-09,1.434131e-18
taylor,30001,3.000100,0.0001,0.080,4,8.711254e-12,1.271115e-09,1.615734e-18
taylor,31501,3.150100,0.0001,0.084,4,9.146794e-12,1.344688e-09,1.808185e-18
taylor,33001,3.300100,0.0001,0.045,4,9.581336e-12,1.418234e-09,2.011388e-18
taylor,34501,3.450100,0.0001,0.080,4,1.001854e-11,1.491754e-09,2.225330e-18
taylor,36001,3.600100,0.0001,0.080,4,1.045419e-11,1.565244e-09,2.449989e-18
taylor,37501,3.750100,0.0001,0.084,4,1.088762e-11,1.638742e-09,2.685475e-18
taylor,39001,3.900100,0.0001,0.084,4,1.132461e-11,1.712261e-09,2.931838e-18
taylor,40501,4.050100,0.0001,0.098,4,1.176315e-11,1.775673e-09,3.153015e-18
taylor,42001,4.200100,0.0001,0.080,4,1.219813e-11,1.819011e-09,3.308802e-18
taylor,43501,4.350100,0.0001,0.080,4,1.263445e-11,1.862417e-09,3.468599e-18
taylor,45001,4.500100,0.0001,0.089,4,1.307032e-11,1.905894e-09,3.632433e-18
taylor,46501,4.650100,0.0001,0.043,4,1.350398e-11,1.949466e-09,3.800419e-18
taylor,48001,4.800100,0.0001,0.044,4,1.393985e-11,1.993098e-09,3.972438e-18
taylor,49501,4.950100,0.0001,0.071,4,1.437783e-11,2.036766e-09,4.148414e-18
taylor,51001,5.100100,0.0001,0.043,4,1.481426e-11,2.080441e-09,4.328233e-18
taylor,52501,5.250100,0.0001,0.043,4,1.525080e-11,2.124141e-09,4.511975e-18
taylor,54001,5.400100,0.0001,0.081,4,1.568512e-11,2.167877e-09,4.699689e-18
taylor,55501,5.550100,0.0001,0.041,4,1.611733e-11,2.211607e-09,4.891205e-18
taylor,57001,5.700100,0.0001,0.081,4,1.655454e-11,2.255373e-09,5.086709e-18
taylor,58501,5.850100,0.0001,0.098,4,1.699063e-11,2.299192e-09,5.286285e-18
taylor,60001,6.000100,0.0001,0.092,4,1.742595e-11,2.343033e-09,5.489804e-18
taylor,61501,6.150100,0.0001,0.082,4,1.786171e-11,2.386906e-09,5.697320e-18
taylor,63001,6.300100,0.0001,0.039,4,1.830025e-11,2.430816e-09,5.908869e-18
taylor,64501,6.450100,0.0001,0.041,4,1.873490e-11,2.474779e-09,6.124530e-18
taylor,66001,6.600100,0.0001,0.040,4,1.917055e-11,2.518782e-09,6.344261e-18
taylor,67501,6.750100,0.0001,0.040,4,1.960287e-11,2.562817e-09,6.568030e-18
taylor,69001,6.900100,0.0001,0.040,4,2.004164e-11,2.606874e-09,6.795793e-18
taylor,70501,7.050100,0.0001,0.040,4,2.047529e-11,2.650960e-09,7.027589e-18
taylor,72001,7.200100,0.0001,0.040,4,2.091283e-11,2.695054e-09,7.263317e-18
taylor,73501,7.350100,0.0001,0.082,4,2.134837e-11,2.739171e-09,7.503059e-18
taylor,75001,7.500100,0.0001,0.043,4,2.178469e-11,2.783288e-09,7.746692e-18
taylor,76501,7.650100,0.0001,0.071,4,2.221945e-11,2.827423e-09,7.994321e-18
taylor,78001,7.800100,0.0001,0.080,4,2.265554e-11,2.871577e-09,8.245954e-18
taylor,79501,7.950100,0.0001,0.041,4,2.309009e-11,2.915751e-09,8.501604e-18
taylor,81001,8.100100,0.0001,0.068,4,2.352674e-11,2.959941e-09,8.761248e-18
taylor,82501,8.250100,0.0001,0.076,4,2.396261e-11,3.004161e-09,9.024983e-18
taylor,84001,8.400100,0.0001,0.070,4,2.439893e-11,3.048404e-09,9.292768e-18
taylor,85501,8.550100,0.0001,0.086,4,2.483524e-11,3.092675e-09,9.564637e-18
taylor,87001,8.700100,0.0001,0.084,4,2.527245e-11,3.136952e-09,9.840465e-18
taylor,88501,8.850100,0.0001,0.078,4,2.570655e-11,3.181276e-09,1.012052e-17
taylor,90001,9.000100,0.0001,0.075,4,2.614287e-11,3.225635e-09,1.040472e-17
taylor,91501,9.150100,0.0001,0.074,4,2.657752e-11,3.269990e-09,1.069284e-17
taylor,93001,9.300100,0.0001,0.089,4,2.701173e-11,3.314364e-09,1.098501e-17
taylor,94501,9.450100,0.0001,0.084,4,2.744904e-11,3.358709e-09,1.128093e-17
taylor,96001,9.600100,0.0001,0.072,4,2.788636e-11,3.403072e-09,1.158090e-17
taylor,97501,9.750100,0.0001,0.076,4,2.832135e-11,3.447396e-09,1.188454e-17
