method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
rk4,1,0.001000,0.001,0.156,4,2.220446e-16,1.245827e-14,1.552086e-28
rk4,1001,1.001000,0.001,0.039,4,nan,-nan(ind),-nan(ind)
rk4,2001,2.001000,0.001,0.059,4,nan,-nan(ind),-nan(ind)
rk4,3001,3.001000,0.001,0.040,4,nan,-nan(ind),-nan(ind)
rk4,4001,4.001000,0.001,0.040,4,nan,-nan(ind),-nan(ind)
rk4,5001,5.001000,0.001,0.039,4,nan,-nan(ind),-nan(ind)
rk4,6001,6.001000,0.001,0.040,4,nan,-nan(ind),-nan(ind)
rk4,7001,7.001000,0.001,0.062,4,nan,-nan(ind),-nan(ind)
rk4,8001,8.001000,0.001,0.060,4,nan,-nan(ind),-nan(ind)
rk4,9001,9.001000,0.001,0.060,4,nan,-nan(ind),-nan(ind)
rk4,10000,10.000000,0.001,0.039,4,nan,-nan(ind),-nan(ind)
