method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.010000,0.01,0.138,4,1.008339e-08,7.296261e-07,5.323543e-13
taylor,2,0.020000,0.01,0.050,4,2.016651e-08,1.459497e-06,2.130132e-12
taylor,3,0.030000,0.01,0.049,4,1.463400e-08,2.118682e-04,4.488815e-08
taylor,4,0.040000,0.01,0.086,4,3.154061e+00,1.775968e+00,3.154062e+00
taylor,5,0.050000,0.01,0.050,4,2.602546e+08,1.613241e+04,2.602546e+08
taylor,6,0.060000,0.01,0.086,4,2.284084e+16,1.511319e+08,2.284084e+16
taylor,7,0.070000,0.01,0.085,4,2.066335e+24,1.437475e+12,2.066335e+24
taylor,8,0.080000,0.01,0.109,4,1.904270e+32,1.379953e+16,1.904270e+32
taylor,9,0.090000,0.01,0.089,4,1.777751e+40,1.333323e+20,1.777751e+40
taylor,10,0.100000,0.01,0.051,4,1.675970e+48,1.294593e+24,1.675970e+48
taylor,11,0.110000,0.01,0.060,4,1.592410e+56,1.261907e+28,1.592410e+56
taylor,12,0.120000,0.01,0.061,4,1.522824e+64,1.234028e+32,1.522824e+64
taylor,13,0.130000,0.01,0.046,4,1.464286e+72,1.210077e+36,1.464286e+72
taylor,14,0.140000,0.01,0.048,4,1.414690e+80,1.189408e+40,1.414690e+80
taylor,15,0.150000,0.01,0.046,4,1.372467e+88,1.171523e+44,1.372467e+88
taylor,16,0.160000,0.01,0.085,4,1.336413e+96,1.156034e+48,1.336413e+96
taylor,17,0.170000,0.01,0.047,4,1.305585e+104,1.142622e+52,1.305585e+104
taylor,18,0.180000,0.01,0.059,4,1.279225e+112,1.131028e+56,1.279225e+112
taylor,19,0.190000,0.01,0.084,4,1.256718e+120,1.121034e+60,1.256718e+120
taylor,20,0.200000,0.01,0.048,4,1.237558e+128,1.112456e+64,1.237558e+128
taylor,21,0.210000,0.01,0.047,4,1.221324e+136,1.105135e+68,1.221324e+136
taylor,22,0.220000,0.01,0.047,4,1.207660e+144,1.098936e+72,1.207660e+144
taylor,23,0.230000,0.01,0.072,4,1.196267e+152,1.093740e+76,1.196267e+152
taylor,24,0.240000,0.01,0.145,4,1.186889e+160,1.089444e+80,1.186889e+160
taylor,25,0.250000,0.01,0.086,4,1.179309e+168,1.085960e+84,1.179309e+168
taylor,26,0.260000,0.01,0.048,4,1.173339e+176,1.083208e+88,1.173339e+176
taylor,27,0.270000,0.01,0.079,4,1.168815e+184,1.081118e+92,1.168815e+184
taylor,28,0.280000,0.01,0.046,4,1.165599e+192,1.079629e+96,1.165599e+192
taylor,29,0.290000,0.01,0.045,4,1.163567e+200,1.078687e+100,1.163567e+200
taylor,30,0.300000,0.01,0.078,4,1.162612e+208,1.078245e+104,1.162612e+208
taylor,31,0.310000,0.01,0.044,4,1.162642e+216,1.078259e+108,1.162642e+216
taylor,32,0.320000,0.01,0.046,4,1.163574e+224,1.078691e+112,1.163574e+224
taylor,33,0.330000,0.01,0.070,4,1.165336e+232,1.079507e+116,1.165336e+232
taylor,34,0.340000,0.01,0.076,4,1.167866e+240,1.080678e+120,1.167866e+240
taylor,35,0.350000,0.01,0.047,4,1.171105e+248,1.082176e+124,1.171105e+248
taylor,36,0.360000,0.01,0.048,4,1.175006e+256,1.083977e+128,1.175006e+256
taylor,37,0.370000,0.01,0.047,4,1.179523e+264,1.086059e+132,1.179523e+264
taylor,38,0.380000,0.01,0.048,4,1.184618e+272,1.088402e+136,1.184618e+272
taylor,39,0.390000,0.01,0.047,4,1.190255e+280,1.090988e+140,1.190255e+280
taylor,40,0.400000,0.01,0.048,4,1.196404e+288,1.093802e+144,1.196404e+288
taylor,41,0.410000,0.01,0.046,4,1.203036e+296,1.096830e+148,1.203036e+296
taylor,42,0.420000,0.01,0.048,4,1.210126e+304,1.100057e+152,1.210126e+304
taylor,43,0.430000,0.01,0.046,4,inf,inf,inf
taylor,44,0.440000,0.01,0.048,4,inf,inf,inf
taylor,45,0.450000,0.01,0.047,4,inf,inf,inf
taylor,46,0.460000,0.01,0.074,4,inf,inf,inf
taylor,47,0.470000,0.01,0.047,4,inf,inf,inf
taylor,48,0.480000,0.01,0.083,4,inf,inf,inf
taylor,49,0.490000,0.01,0.073,4,inf,inf,inf
taylor,50,0.500000,0.01,0.048,4,inf,inf,inf
taylor,51,0.510000,0.01,0.079,4,inf,inf,inf
taylor,52,0.520000,0.01,0.086,4,inf,inf,inf
taylor,53,0.530000,0.01,0.084,4,inf,inf,inf
taylor,54,0.540000,0.01,0.050,4,inf,inf,inf
taylor,55,0.550000,0.01,0.083,4,inf,inf,inf
taylor,56,0.560000,0.01,0.088,4,inf,inf,inf
taylor,57,0.570000,0.01,0.147,4,inf,inf,inf
taylor,58,0.580000,0.01,0.067,4,inf,inf,inf
taylor,59,0.590000,0.01,0.088,4,inf,inf,inf
taylor,60,0.600000,0.01,0.085,4,inf,inf,inf
taylor,61,0.610000,0.01,0.090,4,inf,inf,inf
taylor,62,0.620000,0.01,0.089,4,inf,inf,inf
taylor,63,0.630000,0.01,0.072,4,inf,inf,inf
taylor,64,0.640000,0.01,0.103,4,inf,inf,inf
taylor,65,0.650000,0.01,0.080,4,inf,inf,inf
taylor,66,0.660000,0.01,0.090,4,inf,inf,inf
taylor,67,0.670000,0.01,0.081,4,inf,inf,inf
taylor,68,0.680000,0.01,0.078,4,inf,inf,inf
taylor,69,0.690000,0.01,0.109,4,inf,inf,inf
taylor,70,0.700000,0.01,0.078,4,inf,inf,inf
taylor,71,0.710000,0.01,0.086,4,inf,inf,inf
taylor,72,0.720000,0.01,0.051,4,inf,inf,inf
taylor,73,0.730000,0.01,0.095,4,inf,inf,inf
taylor,74,0.740000,0.01,0.084,4,inf,inf,inf
taylor,75,0.750000,0.01,0.087,4,inf,inf,inf
taylor,76,0.760000,0.01,0.089,4,inf,inf,inf
taylor,77,0.770000,0.01,0.067,4,inf,inf,inf
taylor,78,0.780000,0.01,0.052,4,inf,inf,inf
taylor,79,0.790000,0.01,0.091,4,inf,inf,inf
taylor,80,0.800000,0.01,0.087,4,inf,inf,inf
taylor,81,0.810000,0.01,0.082,4,nan,-nan(ind),-nan(ind)
taylor,82,0.820000,0.01,0.085,4,nan,-nan(ind),-nan(ind)
