method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel,K_used,bn_ratio
cheb,1,0.001000,0.001,0.257,17,5.118128e-14,3.316118e-14,1.099664e-27,18,4.984344e-13
cheb,101,0.101000,0.001,0.215,17,5.234368e-12,3.177591e-12,1.009708e-23,18,4.984344e-13
cheb,201,0.201000,0.001,0.358,17,1.041900e-11,6.321796e-12,3.996511e-23,18,4.984344e-13
cheb,301,0.301000,0.001,0.214,17,1.560219e-11,9.467258e-12,8.962897e-23,18,4.984344e-13
cheb,401,0.401000,0.001,0.237,17,2.078493e-11,1.261049e-11,1.590245e-22,18,4.984344e-13
cheb,501,0.501000,0.001,0.251,17,2.596845e-11,1.575408e-11,2.481912e-22,18,4.984344e-13
cheb,601,0.601000,0.001,0.217,17,3.115297e-11,1.889656e-11,3.570798e-22,18,4.984344e-13
cheb,701,0.701000,0.001,0.491,17,3.633505e-11,2.203806e-11,4.856761e-22,18,4.984344e-13
cheb,801,0.801000,0.001,0.220,17,4.151812e-11,2.517915e-11,6.339897e-22,18,4.984344e-13
cheb,901,0.901000,0.001,0.217,17,4.670164e-11,2.832017e-11,8.020322e-22,18,4.984344e-13
cheb,1001,1.001000,0.001,0.220,17,5.188561e-11,3.145891e-11,9.896629e-22,18,4.984344e-13
cheb,1101,1.101000,0.001,0.218,17,5.706946e-11,3.459644e-11,1.196914e-21,18,4.984344e-13
cheb,1201,1.201000,0.001,0.222,17,6.225287e-11,3.773350e-11,1.423817e-21,18,4.984344e-13
cheb,1301,1.301000,0.001,0.226,17,6.743872e-11,4.086861e-11,1.670243e-21,18,4.984344e-13
cheb,1401,1.401000,0.001,0.228,17,7.262047e-11,4.400044e-11,1.936039e-21,18,4.984344e-13
cheb,1501,1.501000,0.001,0.221,17,7.780465e-11,4.712957e-11,2.221196e-21,18,4.984344e-13
cheb,1601,1.601000,0.001,0.192,17,8.298684e-11,5.025742e-11,2.525809e-21,18,4.984344e-13
cheb,1701,1.701000,0.001,0.216,17,8.817203e-11,5.338240e-11,2.849680e-21,18,4.984344e-13
