t,E
1e-05,0.2601637987246105
0.01000999999999976,0.2601637987248064
0.02000999999999935,0.260163798725005
0.03000999999999895,0.2601637987252001
0.04001000000000158,0.2601637987253971
0.05001000000000464,0.2601637987255924
0.0600100000000077,0.2601637987257858
0.07001000000000555,0.2601637987259779
0.08001000000000168,0.2601637987261703
0.0900099999999978,0.2601637987263618
0.1000099999999939,0.2601637987265566
0.11000999999999,0.2601637987267517
0.1200099999999862,0.2601637987269486
0.1300099999999892,0.2601637987271426
0.1400099999999992,0.260163798727334
0.1500100000000092,0.2601637987275238
0.1600100000000192,0.2601637987277173
0.1700100000000292,0.2601637987279156
0.1800100000000392,0.2601637987281119
0.1900100000000493,0.2601637987283076
0.2000100000000593,0.2601637987285012
0.2100100000000693,0.2601637987286902
0.2200100000000793,0.2601637987288821
0.2300100000000893,0.2601637987290719
0.2400100000000993,0.2601637987292646
0.2500100000001093,0.2601637987294573
0.2600100000001193,0.2601637987296509
0.2700100000001293,0.2601637987298447
0.2800100000001393,0.2601637987300325
0.2900100000001493,0.2601637987302196
0.3000100000001593,0.2601637987304128
0.3100100000001693,0.2601637987306068
0.3200100000001793,0.2601637987307983
0.3300100000001893,0.2601637987309882
0.3400100000001993,0.2601637987311793
0.3500100000002093,0.2601637987313692
0.3600100000002193,0.2601637987315617
0.3700100000002293,0.2601637987317567
0.3800100000002393,0.2601637987319478
0.3900100000002493,0.2601637987321376
0.4000100000002593,0.2601637987323285
0.4100100000002693,0.2601637987325185
0.4200100000002793,0.2601637987327105
0.4300100000002893,0.2601637987328991
0.4400100000002993,0.2601637987330903
0.4500100000003093,0.2601637987332799
0.4600100000003193,0.2601637987334724
0.4700100000003293,0.2601637987336647
0.4800100000003393,0.2601637987338522
0.4900100000003493,0.2601637987340433
0.5000100000003592,0.2601637987342383
0.5100100000003137,0.2601637987344271
0.5200100000002682,0.2601637987346169
0.5300100000002227,0.2601637987348061
0.5400100000001772,0.2601637987349998
0.5500100000001317,0.2601637987351897
0.5600100000000862,0.2601637987353796
0.5700100000000407,0.2601637987355682
0.5800099999999951,0.2601637987357636
0.5900099999999496,0.2601637987359533
0.6000099999999041,0.2601637987361424
0.6100099999998586,0.2601637987363319
0.6200099999998131,0.2601637987365239
0.6300099999997676,0.2601637987367145
0.6400099999997221,0.2601637987369058
0.6500099999996766,0.2601637987370958
0.6600099999996311,0.2601637987372885
0.6700099999995855,0.2601637987374796
0.68000999999954,0.2601637987376699
0.6900099999994945,0.2601637987378598
0.700009999999449,0.2601637987380541
0.7100099999994035,0.2601637987382441
0.720009999999358,0.2601637987384315
0.7300099999993125,0.2601637987386244
0.740009999999267,0.2601637987388174
0.7500099999992215,0.2601637987390058
0.760009999999176,0.2601637987391958
0.7700099999991304,0.2601637987393893
0.7800099999990849,0.2601637987395813
0.7900099999990394,0.2601637987397717
0.8000099999989939,0.2601637987399592
0.8100099999989484,0.2601637987401524
0.8200099999989029,0.2601637987403434
0.8300099999988574,0.2601637987405323
0.8400099999988119,0.2601637987407214
0.8500099999987664,0.2601637987409159
0.8600099999987209,0.260163798741107
0.8700099999986753,0.2601637987412951
0.8800099999986298,0.2601637987414839
0.8900099999985843,0.2601637987416768
0.9000099999985388,0.2601637987418681
0.9100099999984933,0.260163798742059
0.9200099999984478,0.2601637987422512
0.9300099999984023,0.2601637987424435
0.9400099999983568,0.2601637987426321
0.9500099999983113,0.2601637987428214
0.9600099999982658,0.260163798743012
0.9700099999982202,0.2601637987432027
0.9800099999981747,0.2601637987433927
0.9900099999981292,0.2601637987435813
1.000009999998084,0.2601637987437714
1.010009999998149,0.2601637987439658
1.020009999998215,0.2601637987441558
1.03000999999828,0.2601637987443458
1.040009999998346,0.2601637987445346
1.050009999998411,0.2601637987447293
1.060009999998477,0.2601637987449185
1.070009999998542,0.2601637987451078
1.080009999998608,0.2601637987452984
1.090009999998673,0.2601637987454887
1.100009999998739,0.2601637987456777
1.110009999998804,0.2601637987458687
1.12000999999887,0.2601637987460559
1.130009999998935,0.2601637987462487
1.140009999999001,0.2601637987464389
1.150009999999067,0.2601637987466281
1.160009999999132,0.2601637987468172
1.170009999999198,0.2601637987470065
1.180009999999263,0.2601637987471981
1.190009999999329,0.2601637987473884
1.200009999999394,0.2601637987475775
1.21000999999946,0.2601637987477668
1.220009999999525,0.2601637987479574
1.230009999999591,0.2601637987481465
1.240009999999656,0.2601637987483369
1.250009999999722,0.260163798748529
1.260009999999787,0.2601637987487184
1.270009999999853,0.2601637987489105
1.280009999999918,0.2601637987491028
1.290009999999984,0.2601637987492934
1.300010000000049,0.2601637987494837
1.310010000000115,0.2601637987496742
1.32001000000018,0.2601637987498653
1.330010000000246,0.2601637987500591
1.340010000000311,0.2601637987502473
1.350010000000377,0.2601637987504374
1.360010000000442,0.2601637987506268
1.370010000000508,0.2601637987508166
1.380010000000573,0.2601637987510067
1.390010000000639,0.2601637987511995
1.400010000000704,0.2601637987513907
1.41001000000077,0.2601637987515808
1.420010000000835,0.2601637987517714
1.430010000000901,0.2601637987519624
1.440010000000966,0.2601637987521539
1.450010000001032,0.2601637987523446
1.460010000001097,0.2601637987525345
1.470010000001163,0.2601637987527258
1.480010000001228,0.2601637987529196
1.490010000001294,0.2601637987531114
1.500010000001359,0.2601637987533025
1.510010000001425,0.2601637987534914
1.52001000000149,0.260163798753681
1.530010000001556,0.2601637987538691
1.540010000001621,0.2601637987540615
1.550010000001687,0.2601637987542531
1.560010000001752,0.2601637987544449
1.570010000001818,0.2601637987546361
1.580010000001884,0.2601637987548269
