method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel,K_used,bn_ratio
cheb,27501,2.750100,0.0001,0.244,9,6.328316e-11,3.184333e-11,1.013998e-21,10,6.155772e-14
cheb,28001,2.800100,0.0001,0.141,9,6.443313e-11,3.242207e-11,1.051190e-21,10,6.155772e-14
cheb,28501,2.850100,0.0001,0.134,9,6.558376e-11,3.300159e-11,1.089105e-21,10,6.155772e-14
cheb,29001,2.900100,0.0001,0.215,9,6.673839e-11,3.357982e-11,1.127604e-21,10,6.155772e-14
cheb,29501,2.950100,0.0001,0.133,9,6.788592e-11,3.415945e-11,1.166868e-21,10,6.155772e-14
cheb,30001,3.000100,0.0001,0.234,9,6.903700e-11,3.473996e-11,1.206865e-21,10,6.155772e-14
cheb,30501,3.050100,0.0001,0.140,9,7.018608e-11,3.531647e-11,1.247253e-21,10,6.155772e-14
cheb,31001,3.100100,0.0001,0.235,9,7.134004e-11,3.589662e-11,1.288567e-21,10,6.155772e-14
cheb,31501,3.150100,0.0001,0.140,9,7.249046e-11,3.647515e-11,1.330436e-21,10,6.155772e-14
cheb,32001,3.200100,0.0001,0.233,9,7.364154e-11,3.705476e-11,1.373055e-21,10,6.155772e-14
cheb,32501,3.250100,0.0001,0.129,9,7.479195e-11,3.763330e-11,1.416265e-21,10,6.155772e-14
cheb,33001,3.300100,0.0001,0.129,9,7.594148e-11,3.821016e-11,1.460017e-21,10,6.155772e-14
cheb,33501,3.350100,0.0001,0.153,9,7.709433e-11,3.879231e-11,1.504843e-21,10,6.155772e-14
cheb,34001,3.400100,0.0001,0.140,9,7.824275e-11,3.937008e-11,1.550003e-21,10,6.155772e-14
cheb,34501,3.450100,0.0001,0.278,9,7.939405e-11,3.994839e-11,1.595874e-21,10,6.155772e-14
cheb,35001,3.500100,0.0001,0.140,9,8.054268e-11,4.052678e-11,1.642420e-21,10,6.155772e-14
cheb,35501,3.550100,0.0001,0.134,9,8.169243e-11,4.110719e-11,1.689801e-21,10,6.155772e-14
cheb,36001,3.600100,0.0001,0.132,9,8.284595e-11,4.168626e-11,1.737744e-21,10,6.155772e-14
cheb,36501,3.650100,0.0001,0.233,9,8.399592e-11,4.226401e-11,1.786247e-21,10,6.155772e-14
cheb,37001,3.700100,0.0001,0.153,9,8.514811e-11,4.284359e-11,1.835573e-21,10,6.155772e-14
cheb,37501,3.750100,0.0001,0.272,9,8.629475e-11,4.342254e-11,1.885517e-21,10,6.155772e-14
cheb,38001,3.800100,0.0001,0.214,9,8.744783e-11,4.399964e-11,1.935968e-21,10,6.155772e-14
cheb,38501,3.850100,0.0001,0.146,9,8.859735e-11,4.457959e-11,1.987340e-21,10,6.155772e-14
cheb,39001,3.900100,0.0001,0.241,9,8.974488e-11,4.515751e-11,2.039201e-21,10,6.155772e-14
cheb,39501,3.950100,0.0001,0.140,9,9.089951e-11,4.573829e-11,2.091991e-21,10,6.155772e-14
cheb,40001,4.000100,0.0001,0.238,9,9.204859e-11,4.631723e-11,2.145286e-21,10,6.155772e-14
cheb,40501,4.050100,0.0001,0.263,9,9.319923e-11,4.689751e-11,2.199376e-21,10,6.155772e-14
cheb,41001,4.100100,0.0001,0.139,9,9.434875e-11,4.747772e-11,2.254134e-21,10,6.155772e-14
cheb,41501,4.150100,0.0001,0.171,9,9.550383e-11,4.806068e-11,2.309829e-21,10,6.155772e-14
cheb,42001,4.200100,0.0001,0.139,9,9.665047e-11,4.864190e-11,2.366034e-21,10,6.155772e-14
cheb,42501,4.250100,0.0001,0.247,9,9.780043e-11,4.922484e-11,2.423085e-21,10,6.155772e-14
cheb,43001,4.300100,0.0001,0.135,9,9.895240e-11,4.980603e-11,2.480640e-21,10,6.155772e-14
cheb,43501,4.350100,0.0001,0.148,9,1.001017e-10,5.038955e-11,2.539107e-21,10,6.155772e-14
cheb,44001,4.400100,0.0001,0.147,9,1.012495e-10,5.097101e-11,2.598044e-21,10,6.155772e-14
cheb,44501,4.450100,0.0001,0.247,9,1.024010e-10,5.155438e-11,2.657854e-21,10,6.155772e-14
cheb,45001,4.500100,0.0001,0.129,9,1.035509e-10,5.213654e-11,2.718219e-21,10,6.155772e-14
cheb,45501,4.550100,0.0001,0.163,9,1.047022e-10,5.272026e-11,2.779426e-21,10,6.155772e-14
cheb,46001,4.600100,0.0001,0.242,9,1.058551e-10,5.330327e-11,2.841238e-21,10,6.155772e-14
cheb,46501,4.650100,0.0001,0.144,9,1.070037e-10,5.388556e-11,2.903654e-21,10,6.155772e-14
cheb,47001,4.700100,0.0001,0.246,9,1.081539e-10,5.446838e-11,2.966804e-21,10,6.155772e-14
cheb,47501,4.750100,0.0001,0.177,9,1.093046e-10,5.505159e-11,3.030677e-21,10,6.155772e-14
